"資料集提供機關","資料集名稱","瀏覽次數","下載次數","資料集評分"
 "蒙藏委員會","蒙藏委員會補助團體私人情形季報表","7201","1092","3.46153831482"
"蒙藏委員會","蒙藏用語對照表","4823","663","3.33333320618"
"蒙藏委員會","西藏統計資料","5132","811",""
"蒙藏委員會","蒙古統計資料","4016","354",""
"蒙藏委員會","蒙藏委員會性別主流化訓練統計表","3912","372","4.0"
"中華郵政股份有限公司","3+2碼郵遞區號","28417","11882","4.0"
"中華郵政股份有限公司","縣市鄉鎮中英對照檔","22066","28475","3.85714302063"
"中華郵政股份有限公司","中華郵政全國營業據點","8732","4112","4.5"
"臺灣省諮議會","臺灣省諮議會園區公共廁所資訊","4393","558","5.0"
"臺灣省諮議會","臺灣省諮議會園區停車場資訊","4211","545","3.5"
"臺灣省諮議會","臺灣省諮議會園區雕像作品資訊","3132","280","5.0"
"臺灣省諮議會","臺灣省諮議會園區週邊餐廳資訊","4036","641","4.5"
"臺灣省諮議會","臺灣省諮議會歷屆議員名單","4612","368","4.5"
"外交部","中華民國駐外單位聯合網站活動訊息","4996","571",""
"勞動部職業安全衛生署","職業傷病防治中心名單","7363","2067","5.0"
"警政署","各縣(市)警察(分)局暨所屬分駐(派出)所地址資料","32906","4148","3.94736824036"
"國家發展委員會","行政院公報","9779","2016","5.0"
"國家發展委員會","數位機會調查","7509","2274","5.0"
"國家發展委員會","CNS11643中文標準交換碼全字庫(簡稱全字庫)","137086","8759","4.44680862427"
"國家發展委員會","iTaiwan中央行政機關室內公共區域免費無線上網熱點查詢服務","58156","4435","3.85"
"行政院公共工程委員會","當年度工程查核及複查結果","4439","370",""
"衛生福利部統計處","死因統計","36985","6162","3.26923065186"
"內政部國土測繪中心","地政事務所轄區圖(WMS)","8688","841","4.0"
"內政部國土測繪中心","村里界圖(TWD97_123分帶)","31791","4569","3.64705886841"
"消防署","救援與應變單位點位","9923","1310","3.5"
"經濟部","經濟統計區圖資","10115","1391","4.33333320618"
"經濟部國際貿易局","貨品基本資料 (統計參考用)","7225","898",""
"經濟部中小企業處","年度中小企業重要統計表","37014","5051","3.5"
"經濟部中小企業處","國家磐石獎","4947","545","4.0"
"經濟部中小企業處","創新研究獎","5198","680","5.0"
"經濟部中小企業處","小巨人獎","5788","686",""
"經濟部中央地質調查所","臺灣活動斷層分布圖(五十萬分之一紙圖版更新數值檔)","10626","1203","2.0"
"經濟部加工出口區管理處","楠梓、高雄軟體園區就業資訊","8929","1013","4.0"
"經濟部標準檢驗局","ISO認可登錄廠商查詢","8958","853","3.0"
"經濟部標準檢驗局","各類貨品檢驗合格名單","8642","986","5.0"
"經濟部礦務局","台灣區土石生產量值表","5305","902",""
"經濟部水利署","水利防災資訊","7116","1326","4.42857131958"
